水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度,433-453,458-523,543-578,650-680,698-713,733-748,773-793,785-900,855-875,935-955,1565-1655,2100-2280
22.3,7.66,7.52,3.2,0.494,0.047,1.1,34298.8,5.1,4.29,7.39,9.43,7.88,7.85,8.2,7.75,8.79,8.26,2.35,9.1,9.58
25.4,7.28,6.68,4.73,0.214,0.077,2.1,168,15.4,4.83,10.05,13.28,12.62,12.74,11.28,12.09,12.94,11.01,5.56,9.81,9.53
24.3,6.53,6.47,2.85,0.191,0.066,2.63,122.9,48.4,5.23,7.66,12.14,10.82,10.18,4.33,4.33,3.64,2.63,0.26,0.94,0.56
25.8,6.59,6.7,5.37,0.2,0.084,1.46,158.8,17,5.66,4.77,6.78,5.21,5.88,3.4,3.92,2.46,2.97,10.88,2.37,1.85
25.6,6.74,6.15,3.36,0.025,0.069,2.32,153.4,13.6,3.78,5.92,8.97,6.55,6.74,4.52,5.33,7.87,5.63,14.5,4.26,2.73
25.4,7.28,6.68,4.73,0.214,0.077,2.1,168,15.4,4.83,10.05,13.28,12.62,12.74,11.28,12.09,12.94,11.01,5.56,9.81,9.53
24.3,6.53,6.47,2.85,0.191,0.066,2.63,122.9,48.4,5.23,7.66,12.14,10.82,10.18,4.33,4.33,3.64,2.63,0.26,0.94,0.56
25.4,6.85,6.44,4.86,0.057,0.064,1.68,212.5,21.5,3.91,3.77,4.13,4.68,4.62,3.39,3.65,3.01,3.32,2.18,3.3,2.7
24.6,6.84,6.15,3.47,0.067,0.046,1.04,132.3,10,2.21,3.36,4.88,3.18,3.07,1.25,1.45,1.13,1.12,0.3,0.71,0.59
25.3,7.95,9.01,4.43,0.133,0.031,1.2,113.4,10.5,2.17,3.15,5.13,2.73,3.46,1.28,1.5,1.47,1.07,1.51,0.9,0.65
24.4,6.96,7.24,3.34,0.341,0.053,1.53,9851.4,10.5,3.55,4.75,7.12,4.15,3.49,2.33,2.67,2.22,2.39,4.86,1.91,1.2
23.3,7.54,8.43,0.82,0.025,0.015,1.76,292.8,19.3,5.97,10.34,13.88,16.2,15.72,15.59,16.76,19.89,17.81,14.89,17.56,17
23.4,7.76,9.03,0.54,0.025,0.009,1.64,261.3,1.7,4.97,13.92,18.3,21.7,20.09,17.61,19.28,25.48,19.19,6.8,20.01,20.25
23.4,7.76,9.03,0.54,0.025,0.009,1.64,261.3,1.7,4.97,13.92,18.3,21.7,20.09,17.61,19.28,25.48,19.19,6.8,20.01,20.25
22.5,7.89,8,0.96,0.025,0.033,2.14,194,31.5,5.91,8.87,15.36,12.62,9.85,3.92,3.99,3.34,2.44,1.8,1.02,0.89
23.9,7.45,9.47,0.7,0.025,0.011,1.61,280.3,16.9,3.2,4.26,5.97,2.9,2.44,1.58,1.64,1.54,1.69,1.59,1.13,1.04
25.2,7.14,4.92,2.41,0.201,0.039,2.8,8733.3,24.8,5.75,7.16,9.73,5.81,4.5,1.91,1.92,1.55,1.55,0.23,0.75,0.75
24.8,7.19,5.39,1.2,0.358,0.081,2.36,362,16.8,7.46,6.24,7.72,5.69,5.96,4.01,4.28,3.76,3.87,6.81,3.86,3.32
24.3,7.3,6.2,2.14,0.457,0.11,3.46,272.1,24.2,5.55,6.73,9.13,6.74,6.11,3.33,3.5,2.95,2.68,1.98,1.64,1.09
24.8,7.53,5.63,0.93,0.025,0.042,2.26,236.1,5.1,6.99,7.69,9.97,6.24,5.37,3.74,3.54,3.13,3.27,1.42,1.6,1.27
24.9,7.55,5.85,1.75,0.086,0.083,2.6,3301.9,43,6.22,7.62,10.01,5.88,4.75,2.56,2.47,2.04,1.94,0.84,1.05,0.79
25.3,7.65,6.21,1.93,0.116,0.05,2.52,10254.4,28.3,7.82,12.12,13.72,12.3,9.98,8.92,8.97,10.54,8.66,4.1,7.32,7
24.3,7.35,4.66,19.98,0.025,0.147,5.41,579.6,55.8,10.45,12.36,14.38,12.28,13.87,12.26,12.29,13.03,12.32,19.07,12.72,12.1
25.3,6.98,4.6,2.76,0.05,0.046,3.63,3697.7,53.1,6.22,7.15,9.53,6.08,4.98,2.65,2.97,2.14,2,0.96,1.18,0.73
25.3,7.33,5.67,2.86,0.042,0.072,4.49,4511.5,28.1,6.13,7.6,10.38,6.61,5.59,2.55,2.56,2.12,1.91,0.68,0.82,0.69
24.4,7.77,4.72,2.52,0.025,0.043,2.88,714.3,11,6.36,7.41,9.54,5.9,4.84,2.96,2.98,2.52,2.45,0.95,1.4,1.03
24.3,7.28,5.48,1.49,0.077,0.068,2.86,316.9,24.5,7.06,8.16,10.92,7.6,6.5,3.68,3.66,3.18,3.12,1.16,1.47,1.21
25.2,7.43,7.42,1.38,0.025,0.034,1.8,162.7,10.7,4.23,5.65,8.36,4.72,3.82,1.8,2,1.64,1.55,0.55,0.86,0.51
24.9,7.28,6.94,2.13,0.034,0.054,2.66,439.2,17.1,6.3,5.13,8.24,5.81,6.72,5.23,5.28,3.86,3.82,9.85,4.37,4.18
24.7,7.82,7.97,1.23,0.04,0.033,1.45,293.4,13.7,12.05,13.06,14.82,11.44,11.79,10.54,10.53,10.96,10.64,17.86,10.4,10.04
27.1,7.08,5,6.48,0.071,0.1,14.31,3027.2,12.8,5.31,6,8.11,5.73,5.97,4.02,4.09,3.62,3.26,2.72,2.09,1.58
23.3,7.77,7.82,1.41,0.115,-2,-2,299,3.8,9.08,8.21,8.95,7.58,9.84,13.68,16.9,12.84,16.71,13.57,11.69,6.76
24.7,7.17,8.76,1.5,0.106,0.033,1.18,109.7,11.1,4.35,7.12,8.19,8.38,8.31,6.25,6.88,7.59,7.22,1.9,5.08,4.8
23.9,7.15,8.07,0.81,0.025,0.016,1.11,119.8,13.6,3.59,4.87,8.46,5.24,4.37,2.72,2.86,2.73,2.99,3.93,1.62,1.05
24.3,7.36,7.9,0.82,0.028,0.022,0.98,94.5,10.8,4.22,5.94,8.8,4.87,3.84,2.19,2.27,1.9,1.62,0.51,1.06,0.88
24.3,7.38,7.71,1.04,0.025,0.025,1.52,130,11,3.21,4.09,6.18,2.86,2.34,1.22,1.32,1.06,1.04,0.11,0.83,0.52
23.9,7.1,8.35,0.61,0.025,0.02,1,103.7,2.7,4.73,5.88,8.96,4.94,3.91,2.1,2.14,1.84,1.92,0.58,1.29,0.98
25.4,6.53,5.61,1.14,0.084,0.039,1.6,85,22,6.73,13.74,17.06,16.76,12.63,10.27,10.92,15.32,12.3,5.82,10.8,8.84
24.3,7.36,7.9,0.82,0.028,0.022,0.98,94.5,10.8,4.22,5.94,8.8,4.87,3.84,2.19,2.27,1.9,1.62,0.51,1.06,0.88
23.9,7.48,8.33,0.89,0.025,0.005,0.45,85,4,3.78,4.44,4.2,1.8,1.42,1.08,1.18,1.11,1.07,0.25,0.58,0.34
24.3,7.36,7.9,0.82,0.028,0.022,0.98,94.5,10.8,4.22,5.94,8.8,4.87,3.84,2.19,2.27,1.9,1.62,0.51,1.06,0.88
24.3,7.38,7.71,1.04,0.025,0.025,1.52,130,11,3.21,4.09,6.18,2.86,2.34,1.22,1.32,1.06,1.04,0.11,0.83,0.52
23.9,7.1,8.35,0.61,0.025,0.02,1,103.7,2.7,4.73,5.88,8.96,4.94,3.91,2.1,2.14,1.84,1.92,0.58,1.29,0.98
24.3,7.36,7.9,0.82,0.028,0.022,0.98,94.5,10.8,4.22,5.94,8.8,4.87,3.84,2.19,2.27,1.9,1.62,0.51,1.06,0.88
23.9,7.48,8.33,0.89,0.025,0.005,0.45,85,4,3.78,4.44,4.2,1.8,1.42,1.08,1.18,1.11,1.07,0.25,0.58,0.34
23,6.81,6.3,1.89,0.263,0.13,1.96,117,12.6,3.04,4.62,7.17,4.7,3.84,1.38,1.53,1.14,0.81,0.46,0.89,0.68
22.2,6.83,7.45,3.54,0.43,0.104,2.87,722,34.8,4.51,10.62,12.9,12.74,10.88,8.65,8.54,11.68,8.24,1.62,8.49,7.83
23,6.94,6.56,2.7,0.33,0.148,2.28,282.5,20.3,4,5.32,7,4.56,5.33,2.55,3.22,2.24,2.18,1.96,2.69,2.27
22.7,7.03,7.64,3.71,0.426,0.047,1.55,10943.4,8.6,3.92,5.09,7,4.3,3.23,1.88,2.2,1.67,1.58,5.29,1.31,1.1
22.1,7.96,8.42,0.86,0.031,0.03,2.06,292,13.4,5.52,7.18,10.02,6.2,5.06,2.82,2.65,2.43,1.96,0.46,1.14,0.85
22.3,7.98,9.35,0.54,0.025,0.014,1.68,293.9,11.9,3.3,5.09,6.86,3.1,2.39,1.79,1.81,1.07,1.32,1.17,1,0.63
22.9,8.01,8.86,1.08,0.033,0.036,1.46,292.8,17.5,6.51,7.93,10.94,7.33,5.8,2.96,3.15,2.74,2.35,0.6,1.29,1.1
21.2,7.46,8.22,0.91,0.036,0.049,2.05,266.7,17.2,4.81,6.63,10.04,6.24,5.32,2.67,3.03,2.15,2.27,5.64,1.35,0.94
21.2,7.3,5.79,1.48,0.426,0.046,2.59,229,24.1,5.23,7.16,10.13,7.8,6.79,3.1,3.16,2.64,2.1,0.39,0.97,1.05
23,7.25,6.24,2.46,0.196,0.054,2.66,10009.6,100.9,2.76,4.66,6.99,6,5.4,2.34,2.38,1.92,1.48,0.03,0.54,0.34
22.7,7.53,7.99,0.34,0.039,0.039,2.08,308.3,8.2,6.55,7.64,8.75,9.38,8.58,7.29,8.5,10.57,8.52,7.1,5.09,4.29
22.7,7.21,7.62,2.6,0.206,0.093,3.22,253.5,58.8,5.83,8.03,10.84,9.14,8.61,4.2,4.17,3.46,2.72,2.22,1.49,0.91
22.8,7.7,7.53,1.98,0.034,0.072,2.68,2992.6,51.7,6.24,8.49,11.64,8.11,6.94,3.31,3.48,2.74,2.57,0.47,1.64,1.07
22,7.82,7.86,2.34,0.155,0.044,2.47,16290.1,33.6,8.89,12.66,13.5,12.38,10.77,9.04,9.01,11.36,9.49,10.7,8.85,9.26
21.7,7.6,6.88,4.14,0.045,0.216,5.8,571.6,105.1,5.25,7.19,9.84,7.93,8.99,4.64,4.67,3.91,3.04,1.37,1.26,1.01
22.8,7.15,6.02,3.05,0.025,0.065,3.99,4005.7,82.6,5.36,7.41,9.99,8.46,7.54,3.69,3.21,2.91,2.1,0.57,0.64,0.62
22.7,7.44,6.63,3.42,0.133,0.088,4.87,6054.5,51.2,6.81,8.96,11.66,10.28,9.12,4.65,4.48,3.72,2.99,0.69,1.21,1.07
22.4,7.78,7.06,2.38,0.03,0.069,2.99,346.3,39.8,5.93,7.73,10.82,8.15,6.81,3.03,3.06,2.47,2.09,0.12,1.12,0.8
22.4,7.37,6.73,1.57,0.04,0.06,2.76,298.9,24.1,7.07,9.05,11.9,8.69,7.74,3.79,3.77,2.98,2.69,0.86,1.21,0.85
22.2,7.55,8.28,1.69,0.036,0.036,1.61,133.5,25.1,4.59,7.04,10.96,7.82,6.76,2.52,2.94,2.24,1.77,0.14,0.75,0.6
23.9,7.38,7.36,2.51,0.025,0.069,3.22,510.5,29.8,5.53,5.44,6.85,5.6,6.34,4.52,4.38,3.65,3.79,8.82,2.73,2.09
22.9,8.01,8.86,1.08,0.033,0.036,1.46,292.8,17.5,6.51,7.93,10.94,7.33,5.8,2.96,3.15,2.74,2.35,0.6,1.29,1.1
22.6,7.57,6.31,5.51,0.243,0.096,10.1,12912.6,42.8,6.6,7.8,9.75,6.91,7.06,3.89,4.07,3.26,3.04,5.11,2.24,2.19
21.7,7.77,7.69,1.37,0.116,-2,-2,296,8.5,5.14,5.07,5.86,4.66,6.38,12.54,13.17,11.48,15.18,11.33,8,4.78
21.6,7.44,8.45,0.75,0.034,0.022,1.01,96.3,12.4,6.08,8.22,11.34,7.14,6.08,4.62,5.08,4.56,4.3,2.81,2.53,1.88
23.4,6.68,5.38,1.36,0.076,0.05,1.65,80.3,27.8,6.4,13.06,16.52,16.28,13.33,11.3,13.15,14.48,12.86,3.77,8.89,9.67
21.6,7.44,8.45,0.75,0.034,0.022,1.01,96.3,12.4,6.08,8.22,11.34,7.14,6.08,4.62,5.08,4.56,4.3,2.81,2.53,1.88
23.4,6.68,5.38,1.36,0.076,0.05,1.65,80.3,27.8,6.4,13.06,16.52,16.28,13.33,11.3,13.15,14.48,12.86,3.77,8.89,9.67
22.3,7.29,8.43,4.25,0.025,0.075,2.04,185,11.7,5.08,9.1,10.42,9.89,10.92,10.77,10.04,10.88,10.15,4.42,8.03,7.74
22,6.85,7.94,3.26,0.05,0.068,2.91,116.4,70.9,5.31,7.14,12.46,10.98,12.2,5.61,5.54,4.47,3.32,0.73,1.08,0.75
22.7,6.63,6.73,5.6,0.538,0.072,1.7,7965.7,15.8,5.5,4.75,7.14,4.73,4.92,1.44,2.23,2.04,1.5,9.24,2.43,2.08
23.4,6.8,6.4,2.81,0.025,0.065,2.25,160.4,17.2,4.07,6.66,10.22,7.58,6.92,3.45,4.09,3.49,3.74,12.49,2.79,1.72
22.3,7.29,8.43,4.25,0.025,0.075,2.04,185,11.7,5.08,9.1,10.42,9.89,10.92,10.77,10.04,10.88,10.15,4.42,8.03,7.74
22,6.85,7.94,3.26,0.05,0.068,2.91,116.4,70.9,5.31,7.14,12.46,10.98,12.2,5.61,5.54,4.47,3.32,0.73,1.08,0.75
22.9,8.05,11.72,6.49,0.025,0.07,1.21,209.8,30.1,3.89,3.98,4.31,3.15,5.08,3.36,3.13,1.96,2.77,2.3,2.38,1.63
22.3,6.66,6.79,3.43,0.048,0.038,0.67,145.4,10.5,2.73,3.96,5.45,3.93,4.14,2.03,2.05,1.72,1.31,0.4,0.75,0.65
22.6,7.78,8.86,4.07,0.025,0.026,1.17,110.9,8.1,2.43,3.6,5.86,3.3,3.72,1.78,2.15,1.69,1.31,1.1,1.01,0.72
20.5,7.44,7.32,2.17,0.263,0.118,1.69,97.8,11.8,4.26,5.12,8.12,5.3,4.29,2.31,2.24,1.91,1.86,1.29,0.92,0.78
19.5,6.94,8.41,4.59,0.532,0.119,2.9,2703.2,50.6,5.67,9.4,12,11.04,10.59,8.03,7.37,9.71,7.18,2.98,7.18,6.08
20.8,7.79,8.07,2.8,0.243,0.131,2.11,374.7,18,4.96,4.76,6.69,4.49,5.6,3.94,3.66,2.73,3.71,3.45,3.73,3.22
19.4,7.06,8.46,3.12,0.28,0.044,2.02,13014.8,6.9,4.41,4.48,6.56,4.01,3.56,2.22,2.48,2.1,2.23,7.19,1.43,1.11
20.5,7.72,8.33,0.49,0.025,0.016,1.85,296.7,13.3,5.76,6.7,10.72,9.29,11.77,19.16,21.64,11.98,22.84,14.84,14.93,10.09
20.3,7.8,7.6,2.9,0.036,0.035,3.1,293.8,20.8,4.77,5.4,7.56,6,5.65,2.53,2.57,2.35,1.77,0.5,0.84,0.66
19.5,6.94,8.41,4.59,0.532,0.119,2.9,2703.2,50.6,5.67,9.4,12,11.04,10.59,8.03,7.37,9.71,7.18,2.98,7.18,6.08
17.6,7.18,7.64,13.62,0.716,0.101,1.28,20772.1,27.1,6.63,4.77,6.98,5.21,8.33,7.25,6.05,3.49,6.2,6.44,5.98,5.76
20.5,8.08,8.67,1.01,0.025,0.027,1.66,293,13,6.07,6.88,10.04,6.36,4.96,2.51,2.51,2.3,2.13,0.97,1,0.8
20.5,7.72,8.33,0.49,0.025,0.016,1.85,296.7,13.3,5.76,6.7,10.72,9.29,11.77,19.16,21.64,11.98,22.84,14.84,14.93,10.09
20.7,8.01,9.65,0.57,0.025,0.015,1.83,304.4,8.7,3.92,5.16,7.89,3.77,2.57,1.18,1.02,1.09,0.96,1.35,0.75,0.82
21,7.59,8.5,1.07,0.031,0.036,1.43,286.6,16.3,6.13,6.31,9.47,6.16,4.89,2.44,2.14,1.88,1.79,1.02,0.92,0.59
19,7.49,8.74,0.88,0.067,0.048,2.15,265.2,22.9,6.67,8.9,14.46,9.98,8.64,3.55,3.79,4.09,2.78,5.31,2.04,1.55
19.1,7.54,6.98,1.58,0.369,0.052,2.38,287.7,27.7,4.55,6.11,9.38,7.14,5.9,1.93,1.93,1.54,1.2,0.07,0.4,0.33
20.6,7.41,7.21,-1,0.414,0.075,2.62,365,13.5,7.53,6.61,7.8,7.67,8.33,6.9,7.3,8.17,7.39,8.45,8.7,7.15
19.9,7.9,8.25,1.55,0.092,0.124,1.59,7176.6,13.9,6.75,8.35,11.58,8.74,7.28,3.68,3.63,3.03,2.73,1.51,2.11,1.87
20.3,8.59,8.61,1.38,0.025,0.05,1.52,272.4,34.9,6.59,15.08,16.94,16.1,17.01,21.16,23.62,24.06,26.24,21.13,23.89,19.45
19.6,8.01,8.76,1.7,0.073,0.062,2.06,3268.3,28.3,7.14,8.25,9.33,9.64,7,6.45,5.73,8.9,5.39,3.97,5.84,5.08
20.5,7.86,7.23,1.6,0.07,0.059,1.55,7071.3,13.4,6.84,12.24,13.24,13.24,11.48,11.6,11.27,12.66,10.77,4.38,10.33,9.04
19.7,8.68,8.89,1.39,0.025,0.055,2.04,321.5,19,6.43,4.22,6.55,5.39,7.38,6.74,6.86,3.62,5.83,3.78,6.3,6.31
20,8.01,8.64,4.46,0.755,0.076,3.74,-1,47.5,6.14,16.78,17.92,19.88,10.9,9.06,10.52,16.54,8.58,3.5,7.99,6.83
19.8,7.78,7.66,1.68,0.194,-2,-2,292,9.3,6.17,5.96,7.35,7.76,10.45,16.08,18.9,14.44,19.98,18.92,14.25,9.47
20.4,6.98,7.15,4.76,0.275,0.061,2.87,5851.2,83,6.08,7.78,10.67,8.91,8.14,3.66,3.52,3.04,2.55,0.6,0.81,0.69
20.6,7.41,7.21,-1,0.414,0.075,2.62,365,13.5,7.53,6.61,7.8,7.67,8.33,6.9,7.3,8.17,7.39,8.45,8.7,7.15
20.8,7.65,7.99,2.17,0.502,0.135,3.9,300.1,72.2,4.9,5.57,8.66,8.07,8.47,6.92,6.49,4.14,5.09,2.3,4.95,3.58
20.4,7.76,8.09,1.34,0.059,0.051,2.42,241.6,37.1,5.54,6.32,9.58,7.33,6.04,2.7,2.77,2.41,2.07,0.72,1.3,0.97
20.6,7.56,7.86,1.59,0.091,0.072,2.71,1082.2,30.8,6.17,8.31,11.68,8.47,7.13,3.3,3.22,2.94,2.36,1.1,1.6,1.1
20.3,7.8,8.57,2.38,0.187,0.053,2.54,15471.5,33.7,7.07,9.87,12.06,10.76,8.99,7.32,6.72,9.13,5.85,3.82,6.03,5.94
18.9,7.72,8.09,4.51,0.074,0.237,6.38,580.5,113.5,5.3,6.83,9.83,8.42,9.57,5.42,5.12,4.37,3.7,1.81,1.46,1.08
20.8,7.24,7.09,3,0.025,0.062,3.75,4598.5,96.3,6.04,6.81,10.55,9.55,8.59,4.42,4.01,3.87,2.9,2.51,1.07,0.89
20.4,7.51,7.21,3.82,0.223,0.111,5.61,4333,91.9,6.87,7.61,10.68,10.6,10.37,5.97,5.93,4.87,3.9,1.1,0.95,0.64
20.5,7.93,6.91,2.38,0.046,0.068,3.09,279.7,27.5,5.72,6.86,10.42,9.35,8.37,3.79,3.81,3.1,2.55,1.18,1.27,0.97
20.6,7.45,7.2,1.59,0.028,0.069,2.92,282.1,39.7,5.76,6.6,10.46,9.34,8.67,4.17,4.1,3.6,2.8,1.12,1.09,0.88
20.4,7.54,8.5,0.97,0.025,0.032,1.55,141.9,16.9,5.24,6.63,10.68,6.85,5.83,3.08,2.77,2.59,2.37,1.05,1.06,0.79
20.9,7.56,8.17,2.42,0.025,0.075,3.08,474.8,31.8,6.89,6.16,8.57,7.11,8.04,5.95,6.04,6.32,6.2,10.16,5,4.04
21,7.59,8.5,1.07,0.031,0.036,1.43,286.6,16.3,6.13,6.31,9.47,6.16,4.89,2.44,2.14,1.88,1.79,1.02,0.92,0.59
20.4,7.52,6.85,5.55,0.297,0.114,11.38,11130.2,30,4.69,5.37,7.41,5.48,5.98,4.06,3.44,3.36,2.98,3.31,1.84,1.43
19.8,7.78,7.66,1.68,0.194,-2,-2,292,9.3,6.17,5.96,7.35,7.76,10.45,16.08,18.9,14.44,19.98,18.92,14.25,9.47
17.8,7.2,9.12,1.25,0.17,0.031,1.47,117.7,9.3,4.81,8.22,9.74,8.65,7.67,6.69,6.57,8.77,6.4,2.18,5.15,5.31
17.9,7.14,8.62,0.8,0.036,0.018,1.13,143.7,9.3,4.28,5.69,9.68,5.96,4.43,3.67,3.72,3.55,2.84,5.46,1.96,1.42
19.9,7.48,8.78,0.74,0.047,0.022,0.97,94.9,8.3,5.2,6.23,8.86,5.67,4.83,3.92,4.34,4.04,3.86,3.3,1.88,1.17
19.8,7.55,8.38,1.28,0.026,0.028,1.58,136,9.6,4.02,5.28,7.55,4.08,3.2,1.78,1.77,1.67,1.71,0.28,1.02,0.64
18.5,7.21,9.27,0.57,0.03,0.015,0.97,102.3,7,5.74,7.11,11,6.42,5.29,3.16,3.36,3.01,2.75,1.48,1.5,0.98
21.1,6.86,5.8,1.26,0.06,0.058,1.92,101.7,34,7.49,13.5,17.56,17.74,13.23,11.82,12.17,15.94,13.24,6.85,10.14,9.4
19.9,7.48,8.78,0.74,0.047,0.022,0.97,94.9,8.3,5.2,6.23,8.86,5.67,4.83,3.92,4.34,4.04,3.86,3.3,1.88,1.17
20.3,7.3,7.75,0.73,0.025,0.005,0.46,87.1,2,4.5,5.09,5.3,2.59,2.2,1.9,1.66,1.77,1.52,0.43,0.9,0.75
19.9,7.48,8.78,0.74,0.047,0.022,0.97,94.9,8.3,5.2,6.23,8.86,5.67,4.83,3.92,4.34,4.04,3.86,3.3,1.88,1.17
19.8,7.55,8.38,1.28,0.026,0.028,1.58,136,9.6,4.02,5.28,7.55,4.08,3.2,1.78,1.77,1.67,1.71,0.28,1.02,0.64
18.5,7.21,9.27,0.57,0.03,0.015,0.97,102.3,7,5.74,7.11,11,6.42,5.29,3.16,3.36,3.01,2.75,1.48,1.5,0.98
19.9,7.48,8.78,0.74,0.047,0.022,0.97,94.9,8.3,5.2,6.23,8.86,5.67,4.83,3.92,4.34,4.04,3.86,3.3,1.88,1.17
